t,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
34,HK.MHImain,2020-07-23 02:50:00,25063.0,25073.0,25074.0,25061.0,0.0,0.0,75,1880218.0,0.05187549880287311,25060.0,0,,0.0005187549880287801,25056.4,25053.6,25069.85,,,,,0.0,0.0,0.0,93.05559759087195,70.05953965962205,25069.333333333332,25075.923076923085,22.05719921104509,-19.91713612927308,0.0
35,HK.MHImain,2020-07-23 02:55:00,25070.0,25089.0,25092.0,25070.0,0.0,0.0,75,1880692.0,0.06381366410082559,25073.0,0,,0.0006381366410082023,25065.2,25057.0,25069.15,,,,,0.0,0.0,0.0,94.14871499977885,85.63168532186825,25083.666666666668,25075.307692307702,21.489151873766858,25.93238488600634,0.0
36,HK.MHImain,2020-07-23 03:00:00,25092.0,25101.0,25102.0,25090.0,0.0,0.0,110,2760628.0,0.04782972617481765,25089.0,0,,0.00047829726174808407,25077.0,25062.4,25068.95,,,,,0.0,0.0,0.0,97.30787415893799,94.83739558319627,25097.666666666668,25075.012820512828,21.216962524654754,71.18155619594722,0.0
37,HK.MHImain,2020-07-23 09:20:00,25143.0,25188.0,25233.0,25143.0,0.0,0.0,2471,62256215.0,0.34659973706226843,25101.0,0,,0.0034659973706225866,25102.2,25076.4,25073.4,,,,,0.0,0.0,-1.0,90.73554061903576,94.06404325925087,25188.0,25078.56410256411,24.495069033530505,297.84470032475474,1.0
38,HK.MHImain,2020-07-23 09:25:00,25188.0,25143.0,25189.0,25109.0,0.0,0.0,2075,52172629.0,-0.17865650309671272,25188.0,0,,-0.00178656503096708,25118.8,25085.1,25075.25,,27.390260903168382,-2.866357970258832,60.51323774685443,0.0,0.0,0.0,77.71089536138079,88.58477004645151,25147.0,25080.346153846163,26.26923076923105,169.1556857003157,0.0
39,HK.MHImain,2020-07-23 09:30:00,25143.0,25127.0,25153.0,25068.0,0.0,0.0,1753,44011282.0,-0.06363600206817006,25143.0,0,,-0.0006363600206816811,25129.6,25093.0,25077.4,,26.607948740511347,6.958410933331226,39.29907561436024,0.0,0.0,0.0,61.00323624595469,76.48322407545707,25116.0,25081.051282051292,26.97435897435921,86.3751584283645,0.0
40,HK.MHImain,2020-07-23 09:35:00,25130.0,25237.0,25276.0,25122.0,0.0,0.0,5181,130689608.0,0.43777609742508056,25127.0,0,,0.0043777609742507995,25159.2,25112.2,25084.75,,56.178197587345494,23.365006484669316,65.62638220535236,0.0,0.0,0.0,62.776315067741756,67.16348222502575,25211.666666666668,25085.525641025648,31.591715976332125,266.19008969634586,1.0
41,HK.MHImain,2020-07-23 09:40:00,25242.0,25271.0,25285.0,25192.0,0.0,0.0,3410,86103036.0,0.13472282759440504,25237.0,0,,0.0013472282759441345,25193.2,25135.1,25093.6,,83.20060986891986,43.310207612752826,79.78080451233406,0.0,0.0,0.0,75.30157615789028,66.36037582386224,25249.333333333332,25091.16666666668,37.97435897436173,277.67274364164,0.0
42,HK.MHImain,2020-07-23 09:45:00,25272.0,25302.0,25320.0,25265.0,0.0,0.0,3010,76121326.0,0.12267025444185034,25271.0,0,,0.0012267025444185897,25216.0,25159.1,25104.85,,107.28508038196742,64.63516520249102,85.29983035895279,0.0,0.0,0.0,90.13707740115852,76.07165620893018,25295.666666666668,25098.628205128214,47.792899408287454,274.85039825014474,0.0
43,HK.MHImain,2020-07-23 09:50:00,25303.0,25267.0,25325.0,25253.0,0.0,0.0,2731,69059174.0,-0.13832898585092088,25302.0,0,,-0.001383289858509218,25240.8,25179.8,25114.8,,110.74039366088618,80.00357468862275,61.47363794452687,0.0,0.0,0.0,88.12285418235837,84.52050258046906,25281.666666666668,25105.538461538472,57.73570019724335,203.3729616470532,0.0
