,CCIParameters,CumulativeReturn,DailyWinRate,KLineSubType,MACDParameters,MaxDrawdown,Number of Orders,Profit,SharpeRatio,Slippage,Symbol,Total Fee,slowKDParameters
0,"20,0.015,100",0.17985268025332268,0.5272727272727272,K_DAY,"5,35,5",0.32680510096297144,35,8.265000000000015,0.5510481251743765,44.88808227465207,HK.00288,371.0,"9,3,3"
0,"20,0.015,100",-0.10130567240239541,0.460431654676259,K_DAY,"5,35,5",0.3624317131454996,47,7.09000000000006,-0.2452987558950625,70.26798307475258,HK.00267,498.2,"9,3,3"
0,"20,0.015,100",0.17378766376007504,0.4807692307692308,K_DAY,"5,35,5",0.24665757965562574,38,3.390000000000015,0.5841515522134475,118.82005899704963,HK.00175,402.8,"9,3,3"
0,"20,0.015,100",-0.04074163786569196,0.43506493506493504,K_DAY,"5,35,5",0.18160572940313813,34,-0.04339999999999122,-0.012757004680496058,-8304.147465439466,HK.00151,360.4,"9,3,3"
0,"20,0.015,100",-0.15507122798734496,0.4957983193277311,K_DAY,"5,35,5",0.22933483793412524,41,-20.93999999999994,-0.7549577214263942,-20.754536771728805,HK.00101,434.59999999999997,"9,3,3"
0,"20,0.015,100",0.03816133747109984,0.5196850393700787,K_DAY,"5,35,5",0.2616559405408433,31,10.769999999999982,0.20506337853389858,30.510677808727998,HK.00083,328.59999999999997,"9,3,3"
0,"20,0.015,100",0.037611063046820936,0.5172413793103449,K_DAY,"5,35,5",0.12955737113490806,32,3.25,0.26750803179793176,104.36923076923077,HK.00066,339.2,"9,3,3"
0,"20,0.015,100",-0.2713250476000346,0.4444444444444444,K_DAY,"5,35,5",0.39510034042521003,40,-13.200000000000273,-0.7992481654913219,-32.12121212121146,HK.00027,424.0,"9,3,3"
0,"20,0.015,100",-0.31460596959629117,0.3953488372093023,K_DAY,"5,35,5",0.3892869763066209,44,-5.25,-1.3120700490183066,-88.83809523809524,HK.00023,466.4,"9,3,3"
0,"20,0.015,100",0.13482557382657268,0.5121951219512195,K_DAY,"5,35,5",0.2101662031943845,39,54.74999999999977,0.5162698930986825,7.55068493150688,HK.00019,413.4,"9,3,3"
0,"20,0.015,100",-0.0760290585483171,0.5658914728682171,K_DAY,"5,35,5",0.3474130786245797,40,-0.10999999999978627,-0.11407654266166958,-3854.545454552944,HK.00017,424.0,"9,3,3"
0,"20,0.015,100",-0.05446391789891292,0.5702479338842975,K_DAY,"5,35,5",0.22467907740952198,38,0.7500000000004547,-0.10508483799152366,537.066666666341,HK.00016,402.8,"9,3,3"
0,"20,0.015,100",0.060276056984432946,0.5284552845528455,K_DAY,"5,35,5",0.21448900139547922,34,3.8500000000000227,0.34014413953244016,93.61038961038905,HK.00012,360.4,"9,3,3"
0,"20,0.015,100",0.024134934519007167,0.5494505494505495,K_DAY,"5,35,5",0.1615401198392552,36,9.299999999999272,0.20725699621411456,41.03225806451933,HK.00011,381.59999999999997,"9,3,3"
0,"20,0.015,100",0.0806395334005483,0.5217391304347826,K_DAY,"5,35,5",0.22220770203405515,33,48.299999999999955,0.5036214560118066,7.242236024844727,HK.00006,349.8,"9,3,3"
0,"20,0.015,100",0.46520300676597515,0.5899280575539568,K_DAY,"5,35,5",0.14722413613347696,26,22.98377000000005,1.840387234721246,11.991070220420731,HK.00005,275.59999999999997,"9,3,3"
0,"20,0.015,100",0.020474998590046756,0.4714285714285714,K_DAY,"5,35,5",0.18276683613992684,37,12.933338000000049,0.17575710371364128,30.324731326127758,HK.00003,392.2,"9,3,3"
0,"20,0.015,100",-0.1706827253058657,0.45925925925925926,K_DAY,"5,35,5",0.23207185650771645,37,63.220000000000255,-0.8963650557841032,6.203732995887353,HK.00002,392.2,"9,3,3"
0,"20,0.015,100",0.29528614534563236,0.5289855072463768,K_DAY,"5,35,5",0.2634229813447547,34,20.130010000000084,0.9538052137486704,17.903617534218736,HK.00001,360.4,"9,3,3"
