t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore,DailyReturn,CumulativeReturn
151,HK.MHImain,2020-07-17 20:55:00,25175.0,25181.0,25184.0,25174.0,90,2266189.0,0.0,0.0,25175.0,0,1.0,0.00023833167825215718,25185.0,25191.5,25189.05,25168.35,3.284274621433724,8.376185633186953,-10.183822023506458,25.42970534858151,0.0,0.0,15.225563909774388,22.060171797013805,25179.666666666668,25189.149999999972,6.45,-98.01894918144157,1.0,-0.00023833167825215718,0.9887345021700811
152,HK.MHImain,2020-07-17 21:00:00,25182.0,25181.0,25185.0,25178.0,57,1435326.0,0.0,0.0,25181.0,0,,0.0,25181.8,25190.0,25189.05,25169.183333333334,2.3315662528511893,6.361312506408366,-8.059492507114353,25.42970534858151,0.0,0.0,24.511278195488675,18.950581582160428,25181.333333333332,25189.199999999975,6.4,-81.94444444419939,0.0,0.0,0.988498855416833
153,HK.MHImain,2020-07-17 21:05:00,25180.0,25187.0,25189.0,25176.0,62,1561390.0,0.0,0.0,25181.0,0,,0.00023827488979777378,25181.0,25188.7,25189.15,25169.55,3.3552023494339664,5.3592757874169,-4.008146875965867,25.42970534858151,0.0,0.0,36.31578947368417,25.350877192982363,25184.0,25189.28333333331,6.316666666666606,-55.76077396634376,0.0,0.0,0.988498855416833
154,HK.MHImain,2020-07-17 21:10:00,25187.0,25190.0,25190.0,25178.0,48,1208884.0,0.0,0.0,25187.0,0,,0.00011910906419987377,25182.8,25187.7,25189.3,25170.233333333334,4.770913922289765,5.163155165707855,-0.7844824868361808,25.42970534858151,0.0,0.0,45.71428571428567,35.51378446115279,25186.0,25189.249999999978,6.35,-34.12073490790733,0.0,0.0,0.988498855416833
155,HK.MHImain,2020-07-17 21:15:00,25188.0,25196.0,25198.0,25186.0,80,2015405.0,0.0,0.0,25190.0,0,,0.00023818975784051233,25187.0,25187.6,25189.5,25170.8,7.240604284415895,5.855638205277201,2.7699321582773866,25.42970534858151,0.0,0.0,59.999999999999964,47.34335839598989,25193.333333333332,25189.28333333331,6.383333333333212,42.297650130769476,0.0,0.0,0.988498855416833
156,HK.MHImain,2020-07-17 21:20:00,25198.0,25209.0,25219.0,25191.0,259,6528921.0,0.0,0.0,25196.0,1,1.0,0.0005159549134783337,25192.6,25188.8,25190.55,25171.533333333333,12.272620359010034,7.994632256521479,8.55597620497711,25.42970534858151,0.0,0.0,70.34013605442173,58.68480725623575,25206.333333333332,25190.049999999977,7.149999999999818,151.8259518261547,1.0,0.0,0.988498855416833
157,HK.MHImain,2020-07-17 21:25:00,25211.0,25228.0,25232.0,25209.0,315,7945370.0,0.0,0.0,25209.0,1,,0.0007536990757268658,25202.0,25191.9,25192.9,25172.833333333332,20.491433806731948,12.1602327732583,16.662402066947294,25.42970534858151,0.0,0.0,82.4753127057274,70.93848292004965,25223.0,25192.08333333331,8.216666666666423,250.84516565266225,0.0,0.0007536990757268658,0.988498855416833
158,HK.MHImain,2020-07-17 21:30:00,25225.0,25227.0,25229.0,25218.0,184,4641292.0,0.0,0.0,25228.0,1,,-3.963849690824528e-05,25210.0,25195.5,25195.15,25174.1,25.008993499617645,16.44315301537808,17.13168096847913,25.42970534858151,0.0,0.0,88.35856923414524,80.39133933143141,25224.666666666668,25194.249999999978,9.233333333328847,219.61492178125982,0.0,-3.963849690824528e-05,0.9892438860905177
159,HK.MHImain,2020-07-17 21:35:00,25228.0,25207.0,25274.0,25207.0,1041,26273942.0,0.0,0.0,25227.0,1,,-0.0007928013636183673,25213.4,25198.1,25196.3,25175.533333333333,21.83469787107242,18.24033463394286,7.18872647425912,25.42970534858151,0.0,0.0,72.82795698924727,81.22061297637325,25229.333333333332,25196.58333333331,10.666666666662058,204.68750000022487,0.0,-0.0007928013636183673,0.9892046739497974
160,HK.MHImain,2020-07-17 21:40:00,25213.0,25202.0,25225.0,25196.0,551,13889279.0,0.0,0.0,25207.0,0,-1.0,-0.0001983575990796016,25214.6,25200.8,25196.95,25177.116666666665,18.042832144376007,18.17450047075391,-0.26333665275580387,25.42970534858151,0.0,0.0,50.48869870528853,70.55840830956028,25207.666666666668,25197.616666666647,10.844999999998072,61.779621945737745,-1.0,-0.0001983575990796016,0.9884204311353924
161,HK.MHImain,2020-07-17 21:45:00,25198.0,25180.0,25202.0,25175.0,469,11813143.0,0.0,0.0,25202.0,0,,-0.0008729465915403578,25208.8,25200.7,25196.1,25178.383333333335,9.210123498967732,15.18637481349185,-11.952502629048237,25.42970534858151,0.0,0.0,21.52703909846763,48.28123159766775,25185.666666666668,25197.199999999975,11.219999999997526,-68.52842146945885,0.0,-0.0,0.9882243704317911
162,HK.MHImain,2020-07-17 21:50:00,25182.0,25178.0,25191.0,25160.0,527,13266634.0,0.0,0.0,25180.0,-1,-1.0,-7.942811755357049e-05,25198.8,25200.4,25195.2,25179.933333333334,2.922675027803052,11.098474884928919,-16.351599714251734,25.42970534858151,0.0,0.0,15.790196993204473,29.268644932320147,25176.333333333332,25196.19999999998,12.11999999999789,-109.27759442601891,-1.0,-0.0,0.9882243704317911
163,HK.MHImain,2020-07-17 21:55:00,25179.0,25170.0,25189.0,25163.0,293,7376916.0,0.0,0.0,25178.0,-1,,-0.00031773770752241415,25187.4,25198.7,25193.7,25181.05,-3.312434658262646,6.294838370531731,-19.214546057588755,25.42970534858151,0.0,0.0,9.870636186425621,15.729290759365846,25174.0,25194.816666666644,12.67999999999538,-109.4461969855492,0.0,0.00031773770752241415,0.9882243704317911
164,HK.MHImain,2020-07-17 22:00:00,25168.0,25166.0,25172.0,25157.0,272,6844603.0,0.0,0.0,25170.0,-1,,-0.00015891934843070832,25179.2,25196.3,25192.0,25182.066666666666,-8.288014189147361,1.433887517305367,-19.443803412905456,25.42970534858151,0.0,0.0,10.751237067026501,12.137356748885471,25165.0,25193.16666666664,13.616666666663695,-137.90289677671933,0.0,0.00015891934843070832,0.9885383665777701
165,HK.MHImain,2020-07-17 22:05:00,25164.0,25155.0,25168.0,25141.0,573,14412565.0,0.0,0.0,25166.0,-1,,-0.0004370976714614949,25169.8,25192.2,25189.9,25182.683333333334,-14.32286029768511,-3.8183617543581256,-21.00899708665397,25.42970534858151,0.0,0.0,8.99685110211422,9.872908118522053,25154.666666666668,25190.983333333304,14.948333333330265,-161.96528784321129,0.0,0.0004370976714614949,0.9886954644508852
166,HK.MHImain,2020-07-17 22:10:00,25158.0,25160.0,25173.0,25156.0,294,7398439.0,0.0,0.0,25155.0,-1,,0.0001987676406280947,25165.8,25187.3,25188.05,25183.383333333335,-16.468451175325754,-8.035058228014002,-16.866785894623504,25.42970534858151,0.0,0.0,10.834779255831847,10.194289141657462,25163.0,25189.2333333333,15.646666666659986,-111.77389575335337,0.0,-0.0001987676406280947,0.9891276209361811
167,HK.MHImain,2020-07-17 22:15:00,25161.0,25179.0,25184.0,25155.0,305,7678586.0,0.0,0.0,25160.0,0,1.0,0.0007551669316374632,25166.0,25182.4,25187.15,25183.7,-12.236629669114336,-9.435582041714113,-5.602095254800446,25.42970534858151,0.0,0.0,17.794486215538807,12.542038857828231,25172.666666666668,25188.166666666635,15.96666666666024,-64.71816283913778,1.0,-0.0007551669316374632,0.9889310143726876
168,HK.MHImain,2020-07-17 22:20:00,25180.0,25164.0,25192.0,25160.0,417,10499343.0,0.0,0.0,25179.0,0,,-0.0005957345406886194,25164.8,25176.1,25185.8,25183.516666666666,-13.512211875033245,-10.79445865282049,-5.43550644442551,25.42970534858151,0.0,0.0,23.412698412698372,17.347321294689618,25172.0,25187.166666666635,16.283333333323753,-62.09484817459185,0.0,-0.0,0.9881842063729627
169,HK.MHImain,2020-07-17 22:25:00,25161.0,25138.0,25167.0,25130.0,442,11115048.0,0.0,0.0,25164.0,-1,-1.0,-0.0010332220632649491,25159.2,25169.2,25183.65,25182.666666666668,-21.287352303297666,-14.292089869646215,-13.990524867302902,25.42970534858151,0.0,0.0,22.354497354497312,21.187227327578103,25145.0,25184.9833333333,17.61333333332677,-151.33737067871206,-1.0,-0.0,0.9881842063729627
170,HK.MHImain,2020-07-17 22:30:00,25138.0,25128.0,25143.0,25113.0,450,11306760.0,0.0,0.0,25138.0,-1,,-0.00039780412125067777,25153.8,25161.8,25181.3,25181.683333333334,-28.56637864140066,-19.050186126897696,-19.03238502900593,25.42970534858151,0.0,0.0,19.15980175473842,21.64233250731131,25128.0,25182.583333333303,19.674999999996906,-184.94987999427906,0.0,0.00039780412125067777,0.9881842063729627
171,HK.MHImain,2020-07-17 22:35:00,25127.0,25113.0,25127.0,25108.0,306,7685382.0,0.0,0.0,25128.0,-1,,-0.0005969436485195878,25144.4,25155.1,25177.9,25180.65,-36.787128953514184,-24.962500402436525,-23.649257102155318,25.42970534858151,0.0,0.0,12.016944611881277,17.843747907038942,25116.0,25179.39999999997,22.733333333333213,-185.92375366559838,0.0,0.0005969436485195878,0.9885773101228127
172,HK.MHImain,2020-07-17 22:40:00,25114.0,25125.0,25133.0,25112.0,312,7839383.0,0.0,0.0,25113.0,-1,,0.0004778401624656592,25133.6,25149.8,25175.1,25179.8,-37.94858046570516,-29.291193756859403,-17.31477341769152,25.42970534858151,0.0,0.0,15.059272654209318,15.412006340276278,25123.333333333332,25176.499999999967,25.149999999996727,-140.93218466969398,0.0,-0.0004778401624656592,0.989167435069161
