,CCIParameters,CumulativeReturn,DailyWinRate,KLineSubType,MACDParameters,MaxDrawdown,Number of Orders,ProfitBeforeFee,SharpeRatio,Symbol,Total Fee,slowKDParameters
0,"26,0.015,100,7",0.004032879227378494,0.5151515151515151,K_5M,"5,35,5",0.010104968524006885,10,0.10000000000000853,0.17835949237518312,HK.00688,106.0,"9,3,3"
0,"26,0.015,100,7",-0.014502101061857564,0.4339622641509434,K_5M,"5,35,5",0.02113433191709313,10,-5.2000000000000455,-0.5346951418366211,HK.00388,106.0,"9,3,3"
0,"26,0.015,100,7",0.036074278146135175,0.6037735849056604,K_5M,"5,35,5",0.008703165105335975,12,0.12000000000000455,0.9299074722973933,HK.00386,127.19999999999999,"9,3,3"
0,"26,0.015,100,7",0.0015190076351179194,0.5172413793103449,K_5M,"5,35,5",0.005706134094151105,4,0.010000000000001563,0.09163893477120713,HK.00288,42.4,"9,3,3"
0,"26,0.015,100,7",0.026316725512296246,0.5818181818181818,K_5M,"5,35,5",0.005312084993360111,12,0.20000000000000284,1.0329417286788392,HK.00267,127.19999999999999,"9,3,3"
0,"26,0.015,100,7",0.10260788647773222,0.5806451612903226,K_5M,"5,35,5",0.025862068965517127,10,1.5400000000000063,1.3220373081389007,HK.00175,106.0,"9,3,3"
0,"26,0.015,100,7",0.06698462827786233,0.6421052631578947,K_5M,"5,35,5",0.0067057695561447694,18,0.38999999999999346,1.8344215105611203,HK.00151,190.79999999999998,"9,3,3"
0,"26,0.015,100,7",0.01994724777215584,0.5172413793103449,K_5M,"5,35,5",0.007285792814838432,10,0.37999999999998124,0.8193280561655951,HK.00101,106.0,"9,3,3"
0,"26,0.015,100,7",0.06739790061363116,0.5555555555555556,K_5M,"5,35,5",0.012358393408856916,30,0.6400000000000148,1.4083971832152402,HK.00083,318.0,"9,3,3"
0,"26,0.015,100,7",0.02593579489338138,0.5964912280701754,K_5M,"5,35,5",0.003870967741935516,16,1.0,1.324268525296783,HK.00066,169.6,"9,3,3"
