t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
381,HK.MHImain,7/23/20 12:00,25160,25138,25164,25129,1387,34874078,0,0,25159,1,,-0.000834691,25212.8769,24983.9231,25098.4,-24.00475487,-37.85013176,27.69075378,214.1551786,0,0,47.14548803,39.59484346,25143.66667,25111.15385,43.12623274,50.25992835,0
382,HK.MHImain,7/23/20 13:15,25141,25149,25172,25105,3557,89419373,0,0,25138,1,,0.000437585,25178.30483,25080.89517,25129.6,-15.00618994,-30.23548449,30.45858909,214.1551786,0,0,54.29193274,48.29988918,25142,25112.5641,44.19723866,44.40080923,0
383,HK.MHImain,7/23/20 13:30,25154,25173,25182,25130,2339,58849229,0,0,25149,1,,0.000954312,25191.29218,25097.90782,25144.6,-2.395867762,-20.95561224,37.11948896,214.1551786,0,0,65.41071728,55.61604602,25161.66667,25113.55128,45.26035503,70.87200941,0
384,HK.MHImain,7/23/20 13:45,25174,25117,25180,25080,3303,82959984,0,0,25173,1,,-0.002224606,25185.19789,25109.20211,25147.2,-9.967222914,-17.2928158,14.65118577,214.1551786,0,0,72.73641503,64.14635502,25125.66667,25113.07692,44.7495069,18.75587682,0.5
385,HK.MHImain,7/23/20 14:00,25117,25148,25159,25110,2463,61913428,0,0,25117,1,,0.001234224,25181.24362,25108.75638,25145,-5.938683141,-13.50810491,15.13884355,214.1551786,0,0,80.76484018,72.9706575,25139,25113.33333,45.02564103,38.00303721,0.5
386,HK.MHImain,7/23/20 14:15,25149,25210,25254,25145,4604,116056293,0,0,25148,1,,0.002465405,25221.24626,25097.55374,25159.4,13.9300027,-4.362069042,36.58414349,214.1551786,0,0,79.78530802,77.76218774,25203,25116.23077,48.14595661,120.1474805,1
387,HK.MHImain,7/23/20 14:30,25213,25197,25234,25187,2454,61860712,0,0,25210,1,,-0.000515668,25236.088,25101.912,25169,22.57084188,4.615567933,35.9105479,214.1551786,0,0,80.75857532,80.43624118,25206,25120.11538,51.16666667,111.901779,0
388,HK.MHImain,7/23/20 14:45,25193,25176,25197,25148,2677,67383710,0,0,25197,1,,-0.000833433,25236.87377,25102.32623,25169.6,21.76005837,10.33039808,22.85932058,214.1551786,0,0,70.99108464,77.17832266,25173.66667,25122.87179,52.35897436,64.67515508,0
389,HK.MHImain,7/23/20 15:00,25177,25205,25227,25177,2222,56008754,0,0,25176,1,,0.001151891,25232.76139,25141.63861,25187.2,28.90215656,16.52098424,24.76234464,214.1551786,0,0,66.75031029,72.83332342,25203,25126.83333,54.34615385,93.433986,0
390,HK.MHImain,7/23/20 15:15,25206,25177,25227,25162,1970,49620330,0,0,25205,1,,-0.001110891,25221.19929,25164.80071,25193,25.0860303,19.37599959,11.42006141,214.1551786,0,0,60.91954023,66.22031172,25188.66667,25130.19231,55.4852071,70.25819677,0
391,HK.MHImain,7/23/20 15:30,25178,25189,25199,25160,1403,35326832,0,0,25177,1,,0.000476625,25211.29978,25166.30022,25188.8,25.55206135,21.43468685,8.234749011,214.1551786,0,0,63.40996169,63.69327074,25182.66667,25133.64103,55.54240631,58.84469697,0
392,HK.MHImain,7/23/20 15:45,25189,25164,25214,25161,1386,34908120,0,0,25189,0,-1,-0.000992497,25209.9532,25154.4468,25182.2,18.42785754,20.43241041,-4.009105735,214.1551786,-1,0,55.55555556,59.96168582,25179.66667,25138.52564,53.29092702,51.46720457,0
393,HK.MHImain,7/23/20 16:00,25165,25221,25224,25143,2200,55399402,0,0,25164,0,,0.002265141,25231.44724,25150.95276,25191.2,29.43432445,23.43304843,12.00255205,214.1551786,0,0,62.66762452,60.54438059,25196,25144.28205,51.38067061,67.10428663,-0.5
394,HK.MHImain,7/23/20 16:15,25221,25235,25270,25220,2540,64114209,0,0,25221,0,,0.000555093,25250.66251,25143.73749,25197.2,39.70813094,28.85807593,21.70011002,214.1551786,0,0,65.93338009,61.38552006,25241.66667,25151.75641,51.3974359,116.6209362,1
395,HK.MHImain,7/23/20 16:30,25237,25248,25254,25214,1209,30508115,0,0,25235,0,,0.000515158,25272.96103,25149.83897,25211.4,49.05259927,35.58958371,26.92603112,214.1551786,0,0,77.40048119,68.66716194,25238.66667,25159,50.28205128,105.6263811,0
396,HK.MHImain,7/23/20 17:30,25228,25218,25228,25190,659,16612322,0,0,25248,0,,-0.001188213,25274.54667,25159.85333,25217.2,45.6944386,38.95786867,13.47313985,214.1551786,0,0,71.39107612,71.57497913,25212,25163.76923,49.01775148,65.59633028,0
397,HK.MHImain,7/23/20 17:45,25219,25205,25231,25203,315,7944640,0,0,25218,0,,-0.000515505,25254.97296,25195.82704,25225.4,39.12273672,39.01282469,0.219824066,214.1551786,0,0,63.51706037,70.76953922,25213,25166.47436,49.68343195,62.42945142,0
398,HK.MHImain,7/23/20 18:00,25201,25203,25205,25184,442,11136428,0,0,25205,-1,-1,-7.93E-05,25256.5655,25187.0345,25221.8,33.70494782,37.2435324,-7.077169154,214.1551786,-1,0,51.70603675,62.20472441,25197.33333,25164.52564,48.03451677,45.53349621,0
399,HK.MHImain,7/23/20 18:15,25206,25222,25235,25204,548,13822415,0,0,25203,-1,,0.000753879,25251.48374,25186.91626,25219.2,34.94735948,36.47814143,-3.06156389,214.1551786,0,0,52.75590551,55.99300087,25220.33333,25162.14103,46.01676529,84.30595144,0
400,HK.MHImain,7/23/20 18:30,25222,25204,25225,25187,444,11190375,0,0,25222,-1,,-0.000713663,25226.32985,25194.47015,25210.4,30.08244535,34.34624274,-8.527594768,214.1551786,0,0,52.49343832,52.31846019,25205.33333,25163.32051,47.0147929,59.57390277,0
401,HK.MHImain,7/23/20 18:45,25201,25191,25206,25185,346,8717427,0,0,25204,-1,,-0.000515791,25224.79899,25185.20101,25205,22.85115784,30.51454777,-15.32677986,214.1551786,0,0,49.34383202,51.53105862,25194,25166.07692,45.98224852,40.48385021,-0.5
402,HK.MHImain,7/23/20 19:00,25190,25195,25197,25167,400,10073047,0,0,25191,-1,,0.000158787,25224.35416,25181.64584,25203,18.98606648,26.67172067,-15.37130839,214.1551786,0,0,37.67041256,46.50256097,25186.33333,25170.71795,41.47140039,25.10225435,-0.5
403,HK.MHImain,7/23/20 19:15,25195,25200,25209,25191,221,5568974,0,0,25195,-1,,0.000198452,25223.8886,25180.9114,25202.4,17.5897855,23.64440895,-12.10924689,214.1551786,0,0,34.30359203,40.43927887,25200,25178.05128,33.90729783,43.15436372,-0.5
404,HK.MHImain,7/23/20 19:30,25201,25179,25203,25178,196,4936772,0,0,25200,-1,,-0.000833333,25211.02324,25176.57676,25193.8,10.55157553,19.28013114,-17.45711123,214.1551786,0,0,27.58751978,33.18717479,25186.66667,25183.07692,27.90532544,8.576006031,-0.5
405,HK.MHImain,7/23/20 19:45,25179,25173,25197,25173,169,4256039,0,0,25179,-1,,-0.000238294,25207.74349,25167.45651,25187.6,4.258043776,14.27276869,-20.02944982,214.1551786,0,0,21.46720757,27.78610646,25181,25186.79487,23.37475345,-16.52743791,-0.5
406,HK.MHImain,7/23/20 20:00,25172,25154,25183,25113,890,22380175,0,0,25173,-1,,-0.000754777,25213.07309,25147.32691,25180.2,-5.061180731,7.828118881,-25.77859923,214.1551786,0,0,20.0257152,23.02681418,25150,25187.34615,22.78106509,-109.2900433,-1
407,HK.MHImain,7/23/20 20:15,25150,25145,25151,25120,535,13447084,0,0,25154,-1,,-0.000357796,25208.88643,25131.51357,25170.2,-13.33511504,0.773707575,-28.21764522,214.1551786,0,0,22.88653166,21.45981815,25138.66667,25187.15385,22.98816568,-140.6149006,0
408,HK.MHImain,7/23/20 20:30,25145,25146,25157,25136,237,5959713,0,0,25145,-1,,3.98E-05,25187.47419,25131.32581,25159.4,-18.01990488,-5.490829909,-25.05814994,214.1551786,0,0,29.76678376,24.22634354,25146.33333,25187.32051,22.8086785,-119.7999539,0
409,HK.MHImain,7/23/20 20:45,25150,25136,25160,25108,778,19551018,0,0,25146,-1,,-0.000397678,25175.76077,25125.83923,25150.8,-23.4136632,-11.46510767,-23.89711106,214.1551786,0,0,27.80552206,26.8196125,25134.66667,25186.28205,23.96055227,-143.6121172,0
410,HK.MHImain,7/23/20 21:00,25131,25068,25131,25068,897,22512801,0,0,25136,-1,,-0.002705283,25192.64457,25066.95543,25129.8,-45.2650358,-22.73175038,-45.06657083,214.1551786,0,0,19.06235266,25.54488616,25089,25184.87179,25.69625247,-248.7309385,0
411,HK.MHImain,7/23/20 21:15,25067,25123,25127,25059,644,16162988,0,0,25068,-1,,0.002194032,25181.60138,25065.59862,25123.6,-42.90728825,-29.45692967,-26.90071715,214.1551786,0,0,23.46314631,23.44367368,25103,25183.48718,27.40039448,-195.8297341,0
412,HK.MHImain,7/23/20 21:30,25125,25124,25131,25110,435,10927192,0,0,25123,-1,,3.98E-05,25173.50508,25065.29492,25119.4,-40.35042334,-33.08809423,-14.52465823,214.1551786,0,0,29.26851852,23.93133917,25121.66667,25180.35897,29.7357002,-131.5866278,0
413,HK.MHImain,7/23/20 21:45,25121,25107,25139,25061,2046,51338459,0,0,25124,-1,,-0.000676644,25158.93878,25064.26122,25111.6,-42.7155376,-36.29724202,-12.83659116,214.1551786,0,0,40.86272142,31.19812875,25102.33333,25176.37179,32.92406312,-149.9176277,0
414,HK.MHImain,7/23/20 22:00,25109,25144,25148,25108,1052,26440110,0,0,25107,0,1,0.001473693,25164.13368,25062.26632,25113.2,-33.13587736,-35.2434538,4.215152878,214.1551786,1,0,49.48996156,39.87373383,25133.33333,25174.82051,34.95266272,-79.13022215,0.5
415,HK.MHImain,7/23/20 22:15,25144,25112,25154,25102,1076,27040302,0,0,25144,0,,-0.001272669,25147.51862,25096.48138,25122,-35.37950096,-35.28880285,-0.181396218,214.1551786,0,0,51.93541444,47.42936581,25122.66667,25171.73077,36.5877712,-89.39982031,0.5
416,HK.MHImain,7/23/20 22:30,25109,25129,25129,25085,1154,28971632,0,0,25112,1,1,0.000676967,25149.35033,25097.04967,25123.2,-31.41475469,-33.99745346,5.165397546,214.1551786,1,0,63.44352177,54.95629926,25114.33333,25168.87179,38.58382643,-94.23371843,0.5
417,HK.MHImain,7/23/20 22:45,25128,25166,25179,25128,1206,30333414,0,0,25129,1,,0.001472402,25174.8037,25088.3963,25131.6,-18.05890047,-28.68460247,21.25140399,214.1551786,0,0,70.31628163,61.89840595,25157.66667,25167.91026,38.5581854,-17.71105086,0.5
418,HK.MHImain,7/23/20 23:00,25167,25135,25172,25125,735,18483796,0,0,25166,1,,-0.001231821,25172.78427,25101.61573,25137.2,-17.92634596,-25.09851696,14.34434201,214.1551786,0,0,73.93564356,69.23181565,25144,25166.53846,39.02564103,-38.50197109,0.5
419,HK.MHImain,7/23/20 23:15,25136,25155,25163,25110,858,21567072,0,0,25135,1,,0.000795703,25177.65389,25101.14611,25139.4,-11.95536078,-20.7174649,17.52420825,214.1551786,0,0,77.5,73.9173084,25142.66667,25164.48718,38.65285996,-37.63501216,0.5
420,HK.MHImain,7/23/20 23:30,25155,25151,25164,25136,510,12825815,0,0,25155,1,,-0.000159014,25174.16368,25120.23632,25147.2,-9.085567136,-16.84016565,15.50919702,214.1551786,0,0,73.20150659,74.87905005,25150.33333,25160.97436,35.68836292,-19.87767584,0.5
421,HK.MHImain,7/23/20 23:45,25151,25165,25180,25144,611,15374730,0,0,25151,1,,0.000556638,25176.9424,25131.8576,25154.4,-3.221519895,-12.30061706,18.15819434,214.1551786,0,0,81.22204814,77.30785158,25163,25158.0641,32.33037475,10.17803943,0.5
422,HK.MHImain,7/24/20 00:00,25166,25150,25172,25146,400,10062741,0,0,25165,1,,-0.000596066,25170.56595,25131.83405,25151.2,-3.636350893,-9.41252834,11.55235489,214.1551786,0,0,77.36239902,77.26198458,25156,25155.91026,29.98027613,0.199561403,0.5
423,HK.MHImain,7/24/20 00:15,25150,25118,25152,25103,710,17839042,0,0,25150,0,-1,-0.001272366,25179.43289,25116.16711,25147.8,-12.71908984,-10.51471551,-4.408748665,214.1551786,0,0,63.51761757,74.03402158,25124.33333,25152.5,28.47435897,-65.94627045,0.5
424,HK.MHImain,7/24/20 00:30,25117,25101,25129,25092,644,16171211,0,0,25118,0,,-0.000676805,25184.37932,25089.62068,25137,-22.92453492,-14.65132198,-16.54642588,214.1551786,0,0,40,60.29333886,25107.33333,25149.03846,27.86193294,-99.78998537,0.5
425,HK.MHImain,7/24/20 00:45,25102,25104,25114,25077,731,18343703,0,0,25101,0,,0.000119517,25178.64665,25076.55335,25127.6,-28.09232377,-19.13165591,-17.92133572,214.1551786,0,0,25.93084653,43.14948804,25098.33333,25144.34615,26.50098619,-115.7512156,-1
426,HK.MHImain,7/24/20 01:00,25106,25076,25111,25052,697,17479341,0,0,25104,0,,-0.00111536,25158.27102,25061.32898,25109.8,-38.6036663,-25.62232604,-25.96268053,214.1551786,0,0,20.60189917,28.84424857,25079.66667,25139.51282,26.48717949,-150.6292352,0
427,HK.MHImain,7/24/20 01:15,25071,25071,25092,25064,281,7046955,0,0,25076,0,,-0.000199394,25129.53027,25058.46973,25094,-45.89592519,-32.38019242,-27.03146554,214.1551786,0,0,19.93578074,22.15617548,25075.66667,25134.96154,26.78205128,-147.598532,0
428,HK.MHImain,7/24/20 01:30,25068,25053,25075,25033,516,12924520,0,0,25071,0,,-0.000717961,25119.3458,25042.6542,25081,-54.63742292,-39.79926925,-29.67630732,214.1551786,0,0,15.73306406,18.75691466,25053.66667,25129.85897,28.17751479,-180.2673947,0
429,HK.MHImain,7/24/20 01:45,25050,25005,25053,24996,692,17312909,0,0,25053,0,,-0.001915938,25127.34876,24996.25124,25061.8,-72.46285809,-50.6871322,-43.55145179,214.1551786,0,0,11.11349884,15.59411455,25018,25122.85897,29.89546351,-233.8347518,0
430,HK.MHImain,7/24/20 02:00,25002,24991,25018,24959,797,19911283,0,0,25005,0,,-0.000559888,25108.76321,24969.63679,25039.2,-86.23326435,-62.53584292,-47.39484287,214.1551786,0,0,11.1734069,12.67332327,24989.33333,25115.26923,33.63806706,-249.5900398,0
431,HK.MHImain,7/24/20 02:15,24989,24935,24989,24920,793,19782409,0,0,24991,0,,-0.002240807,25107.23305,24914.76695,25011,-108.8621634,-77.97794975,-61.76842731,214.1551786,0,0,8.793431923,10.36011256,24948,25106.30769,38.92899408,-271.1050312,0
432,HK.MHImain,7/24/20 02:30,24932,24944,24949,24908,441,10995060,0,0,24935,0,,0.000360938,25071.57302,24899.62698,24985.6,-118.5940227,-91.51664074,-54.15476399,214.1551786,0,0,12.59286139,10.85323341,24933.66667,25097.98718,45.91518738,-238.5855635,0
433,HK.MHImain,7/24/20 02:45,24942,24949,24976,24927,462,11529149,0,0,24944,0,,0.000200449,25020.46184,24909.13816,24964.8,-121.1364152,-101.3898989,-39.49303265,214.1551786,0,0,14.21934087,11.86854473,24950.66667,25090.75641,52.24161736,-178.7715755,0
434,HK.MHImain,7/24/20 03:00,24954,24950,24966,24940,467,11652684,0,0,24949,0,,4.01E-05,24992.48643,24915.11357,24953.8,-120.2161361,-107.6653113,-25.10164966,214.1551786,0,0,18.96072018,15.25764082,24952,25083.28205,57.60552268,-151.9322514,0
435,HK.MHImain,7/24/20 09:30,25000,24993,25045,24932,5613,140279655,0,0,24950,1,1,0.001723447,24994.42735,24913.97265,24954.2,-105.466032,-106.9322182,2.932372449,214.1551786,1,0,28.92940666,20.7031559,24990,25077.71795,60.65088757,-96.41842818,0.5
436,HK.MHImain,7/24/20 09:45,24994,24972,25106,24962,11467,287075100,0,0,24993,1,,-0.000840235,24998.4478,24924.7522,24961.6,-100.059188,-104.6412081,9.16404024,214.1551786,0,0,33.06951322,26.98654669,25013.33333,25074.80769,63.43096647,-64.61024995,0.5
437,HK.MHImain,7/24/20 10:00,24972,25060,25066,24877,10728,267681419,0,0,24972,1,,0.003523947,25066.6721,24902.9279,24984.8,-70.3574865,-93.21330093,45.71162886,214.1551786,0,0,52.81051608,38.26981199,25001,25070.88462,66.09072978,-70.49361347,0.5
438,HK.MHImain,7/24/20 10:15,25060,25038,25063,24976,5714,142946880,0,0,25060,1,,-0.000877893,25084.29798,24920.90202,25002.6,-56.46460986,-80.96373724,48.99825476,214.1551786,0,0,60.84719098,48.90907343,25025.66667,25067.19231,66.44477318,-41.66431664,0.5
439,HK.MHImain,7/24/20 10:30,25039,24977,25064,24955,4439,111012783,0,0,25038,1,,-0.002436297,25077.77679,24938.22321,25008,-63.61604661,-75.1811737,23.13025417,214.1551786,0,0,64.62882096,59.42884267,24998.66667,25063.20513,68.03550296,-63.23998377,0.5
